controller_id,device_id,band,collection_time,jitter,latency,wan_bandwidth,upload_bandwidth,wan_connectivity,wan_throughput,memory_free,memory_total,cpu_usage,number_of_alerts,is_controller,connectivity_score,available_bandwidth_score,internet_delay_score,internet_jitter_score,system_health_score,congestion_score,wifi_coverage_score,wifi_availability_score,noise,utilization,transmit,receive_self,receive_other,congestion_rate,associated_device_number_of_entries,average_rx_rate,average_tx_rate,bandwidth,bytes_sent,errors_pkt,ip_address,packets_received,packets_sent,errors_sent,errors_received,bytes_received,backhaul_sta_mac_address,backhaul_sta_backhaul_link_type,backhaul_sta_link_rate,backhaul_sta_signal_strength,backhaul_sta_utilization
20:36:26:90:B8:D4,20:36:26:90:B8:D4,2.4GHz,1722298990,999000,999000,1800,,0,3,,,,3,1,5.0,1.4,1.0,1.0,5.0,,0.0,4.1,74,76,,,,,0,1,2,40MHz,261776,2146054,192.168.0.1,9378281,557,,,,0,NULL,0,0,0
20:36:26:90:B8:D4,20:36:26:90:B8:D4,5GHz,1722298990,999000,999000,1800,,0,3,,,,3,1,5.0,1.4,1.0,1.0,5.0,,0.0,5.0,38,17,,,,,0,8,1,80MHz,227115849,5933859,192.168.0.1,14474994,110624,,,,0,NULL,0,0,0
20:36:26:90:B8:D4,20:36:26:90:B8:D4,6GHz,1722298990,999000,999000,1800,,0,3,,,,3,1,5.0,1.4,1.0,1.0,5.0,,0.0,5.0,36,0,,,,,0,0,0,160MHz,0,27764,192.168.0.1,27835,0,,,,0,NULL,0,0,0
10:27:F5:51:6A:88,10:27:F5:51:6A:88,2.4GHz,1722299170,1,34,0,3064,0,1,188684,249480,34,2,1,5.0,1.0,5.0,5.0,5.0,3.1,---,2.9,110,122,0,0,0,122,0,0,0,20MHz,0,1358969,192.168.88.1,8207122,0,,,,0,NULL,0,0,0
10:27:F5:51:6A:88,10:27:F5:51:6A:88,5GHz,1722299170,1,34,0,3064,0,1,188684,249480,34,2,1,5.0,1.0,5.0,5.0,5.0,3.1,---,3.6,48,91,4,0,87,87,0,0,3,80MHz,28911848,19164081,192.168.88.1,52490196,0,,,,0,NULL,0,0,0
10:27:F5:51:6A:88,B0:A7:B9:26:09:80,2.4GHz,1722299170,1,37,0,3224,0,3,191948,249480,5,1,0,5.0,1.0,5.0,5.0,5.0,3.3,---,3.3,42,110,0,0,0,110,0,0,0,20MHz,0,676617,192.168.88.2,8156156,0,,,,B2:A7:B9:06:09:80,NULL,0,0,0
10:27:F5:51:6A:88,B0:A7:B9:26:09:80,5GHz,1722299170,1,37,0,3224,0,3,191948,249480,5,1,0,5.0,1.0,5.0,5.0,5.0,3.3,---,3.6,60,104,4,0,87,100,0,3,8,80MHz,236706597,18709304,192.168.88.2,52268831,0,,,,B6:A7:B9:26:09:82,Wi-Fi,866,202,94
00:0A:EB:13:95:BE,00:0A:EB:13:95:BE,2.4GHz,1722298150,1,6,0,0,0,1,191084,490084,2,3,1,5.0,1.0,5.0,5.0,5.0,3.0,---,2.9,106,86,9,0,116,77,0,0,0,40MHz,0,6684241,192.168.0.1,39197844,0,,,,0,NULL,0,0,0
00:0A:EB:13:95:BE,00:0A:EB:13:95:BE,5GHz,1722298150,1,6,0,0,0,1,191084,490084,2,3,1,5.0,1.0,5.0,5.0,5.0,3.0,---,2.6,40,132,2,0,138,130,0,0,0,80MHz,0,281343613,192.168.0.1,395666312,0,,,,0,NULL,0,0,0
00:0A:EB:13:95:BE,00:0A:EB:13:95:BE,6GHz,1722298150,1,6,0,0,0,1,191084,490084,2,3,1,5.0,1.0,5.0,5.0,5.0,3.0,---,5.0,36,0,1,0,0,0,0,0,0,160MHz,0,1087552,192.168.0.1,1155720,0,,,,0,NULL,0,0,0
00:FF:00:2E:8E:44,00:FF:00:2E:8E:44,2.4GHz,1722298450,1,6,0,0,0,1,190596,490084,2,3,1,5.0,1.0,5.0,5.0,5.0,1.9,---,1.4,72,191,9,0,180,182,0,0,0,40MHz,0,29582650,192.168.0.1,75356441,0,,,,0,NULL,0,0,0
00:FF:00:2E:8E:44,00:FF:00:2E:8E:44,5GHz,1722298450,1,6,0,0,0,1,190596,490084,2,3,1,5.0,1.0,5.0,5.0,5.0,1.9,---,2.7,46,132,2,0,132,130,0,0,0,80MHz,0,283349534,192.168.0.1,395309999,0,,,,0,NULL,0,0,0
00:FF:00:2E:8E:44,00:FF:00:2E:8E:44,6GHz,1722298450,1,6,0,0,0,1,190596,490084,2,3,1,5.0,1.0,5.0,5.0,5.0,1.9,---,5.0,36,0,1,0,0,0,0,0,0,160MHz,0,2360451,192.168.0.1,2416418,0,,,,0,NULL,0,0,0
74:FE:CE:72:5E:EC,9C:A2:F4:AB:1D:C4,2.4GHz,1649315710,7,87,0,,0,13,,,,1,0,5.0,1.0,4.3,5.0,5.0,,0.0,3.5,20,86,,,,,0,0,0,20MHz,14520,45775,192.168.0.2,3193226,2289,,,,9A:A2:F4:AB:1D:C4,NULL,0,0,0
74:FE:CE:72:5E:EC,9C:A2:F4:AB:1D:C4,5GHz,1649315710,7,87,0,,0,13,,,,1,0,5.0,1.0,4.3,5.0,5.0,,0.0,5.0,42,30,,,,,0,0,0,80MHz,65773,2117753,192.168.0.2,11668727,130448,,,,96:A2:F4:AB:1D:C4,NULL,0,0,0
74:FE:CE:72:5E:EC,3C:52:A1:01:2F:3A,2.4GHz,1649315710,34,236,0,,0,23,,,,3,0,5.0,1.0,1.0,3.6,5.0,,0.0,1.0,26,221,,,,,0,0,1,20MHz,273105,20,192.168.0.6,1011,939,,,,42:52:A1:01:2F:3A,NULL,0,0,0
74:FE:CE:72:5E:EC,3C:52:A1:01:2F:3A,5GHz,1649315710,34,236,0,,0,23,,,,3,0,5.0,1.0,1.0,3.6,5.0,,3.0,5.0,6,45,,,,,1,23,29,160MHz,138893525,6,192.168.0.6,334275,363492,,,,42:52:A1:01:2F:3C,Wi-Fi,1921,176,33
74:FE:CE:72:5E:EC,74:FE:CE:72:5E:EC,2.4GHz,1649315710,2,80,0,,0,3,,,,2,1,5.0,1.0,4.5,5.0,5.0,,0.0,1.0,26,239,,,,,0,4,4,20MHz,2135541,101,192.168.0.1,6064,8284,,,,0,NULL,0,0,0
74:FE:CE:72:5E:EC,74:FE:CE:72:5E:EC,5GHz,1649315710,2,80,0,,0,3,,,,2,1,5.0,1.0,4.5,5.0,5.0,,0.0,4.0,6,66,,,,,1,26,24,160MHz,207834537,32,192.168.0.1,469772,508236,,,,0,NULL,0,0,0
00:0A:EB:13:95:BE,00:0A:EB:13:95:BE,2.4GHz,1722299050,1,6,0,0,0,1,190344,490084,2,2,1,5.0,1.0,5.0,5.0,5.0,2.5,---,3.6,104,160,9,0,89,151,0,0,0,40MHz,0,6695817,192.168.0.1,39275110,0,,,,0,NULL,0,0,0
00:0A:EB:13:95:BE,00:0A:EB:13:95:BE,5GHz,1722299050,1,6,0,0,0,1,190344,490084,2,2,1,5.0,1.0,5.0,5.0,5.0,2.5,---,1.2,56,109,2,0,195,107,0,0,0,80MHz,0,281640029,192.168.0.1,396224207,0,,,,0,NULL,0,0,0
00:0A:EB:13:95:BE,00:0A:EB:13:95:BE,6GHz,1722299050,1,6,0,0,0,1,190344,490084,2,2,1,5.0,1.0,5.0,5.0,5.0,2.5,---,5.0,36,0,1,0,0,0,0,0,0,160MHz,0,1087603,192.168.0.1,1155820,0,,,,0,NULL,0,0,0
00:FF:00:2E:8E:44,00:FF:00:2E:8E:44,2.4GHz,1722299350,1,6,0,0,0,1,190756,490084,2,2,1,5.0,1.0,5.0,5.0,5.0,2.2,---,1.5,68,178,9,0,174,169,0,0,0,40MHz,0,29620387,192.168.0.1,75496980,0,,,,0,NULL,0,0,0
00:FF:00:2E:8E:44,00:FF:00:2E:8E:44,5GHz,1722299350,1,6,0,0,0,1,190756,490084,2,2,1,5.0,1.0,5.0,5.0,5.0,2.2,---,3.3,46,114,1,0,106,113,0,0,0,80MHz,0,283611620,192.168.0.1,395842584,0,,,,0,NULL,0,0,0
00:FF:00:2E:8E:44,00:FF:00:2E:8E:44,6GHz,1722299350,1,6,0,0,0,1,190756,490084,2,2,1,5.0,1.0,5.0,5.0,5.0,2.2,---,5.0,36,0,1,0,0,0,0,0,0,160MHz,0,2362661,192.168.0.1,2418682,0,,,,0,NULL,0,0,0
74:FE:CE:72:5E:EC,9C:A2:F4:AB:1D:C4,2.4GHz,1649316610,7,87,0,,0,13,,,,1,0,5.0,1.0,4.3,5.0,5.0,,0.0,3.6,20,102,,,,,0,0,0,20MHz,14520,46311,192.168.0.2,3252660,2289,,,,9A:A2:F4:AB:1D:C4,NULL,0,0,0
74:FE:CE:72:5E:EC,9C:A2:F4:AB:1D:C4,5GHz,1649316610,7,87,0,,0,13,,,,1,0,5.0,1.0,4.3,5.0,5.0,,0.0,5.0,52,48,,,,,0,0,0,80MHz,65773,2158671,192.168.0.2,11881615,130448,,,,96:A2:F4:AB:1D:C4,NULL,0,0,0
74:FE:CE:72:5E:EC,3C:52:A1:01:2F:3A,2.4GHz,1649316610,34,236,0,,0,23,,,,3,0,5.0,1.0,1.0,3.6,5.0,,0.0,1.0,32,226,,,,,0,0,1,20MHz,273105,20,192.168.0.6,1011,939,,,,42:52:A1:01:2F:3A,NULL,0,0,0
74:FE:CE:72:5E:EC,3C:52:A1:01:2F:3A,5GHz,1649316610,34,236,0,,0,23,,,,3,0,5.0,1.0,1.0,3.6,5.0,,3.1,5.0,6,33,,,,,1,24,30,160MHz,142326889,6,192.168.0.6,341720,372004,,,,42:52:A1:01:2F:3C,Wi-Fi,1921,176,33
